brewery_type,city,country,id,latitude,longitude,name,phone,postal_code,state,street,tag_list,updated_at,website_url
micro,Birmingham,United States,0,33.524521,-86.774322,Avondale Brewing Co,2057775456.0,35222-1932,Alabama,201 41st St S,[],2018-08-23T23:19:57.825Z,http://www.avondalebrewing.com
micro,Tuscaloosa,United States,1,33.1984907123707,-87.5621551272424,Band of Brothers Brewing Company,2052665137.0,35401-4653,Alabama,1605 23rd Ave,[],2018-08-23T23:19:59.462Z,http://www.bandofbrosbrewing.com
micro,Birmingham,United States,2,33.5128492349817,-86.7914000624146,Trim Tab Brewing,2057030536.0,35233-3401,Alabama,2721 5th Ave S,[],2018-08-23T23:20:31.423Z,http://www.trimtabbrewing.com
micro,Huntsville,United States,3,34.7277523,-86.59320140000001,Yellowhammer Brewery,2569755950.0,35805-3046,Alabama,2600 Clinton Ave W,[],2018-08-23T23:20:33.102Z,http://www.yellowhammerbrewery.com
micro,Wasilla,United States,4,61.5752695,-149.41271030000001,Bearpaw River Brewing Co,,99654-7679,Alaska,4605 E Palmer Wasilla Hwy,[],2018-08-23T23:20:40.743Z,http://bearpawriverbrewing.com
micro,Anchorage,United States,5,61.138489354731504,-149.879076042937,King Street Brewing Co,9073365464.0,99515,Alaska,9050 King Street,[],2018-08-23T23:20:57.179Z,http://www.kingstreetbrewing.com
micro,Tucson,United States,6,32.2467372722906,-110.992750525872,1912 Brewing,5202564851.0,85745-1444,Arizona,2045 N Forbes Blvd Ste 105,[],2018-08-23T23:21:11.302Z,http://www.1912brewing.com
contract,Scottsdale,United States,7,33.4972615652174,-111.924474347826,Bad Water Brewing,5207459175.0,85251-3914,Arizona,4216 N Brown Ave,[],2018-08-23T23:21:15.169Z,http://www.badwaterbrewing.com
brewpub,Chandler,United States,8,33.3053455,-111.911126,BJs Restaurant & Brewery - Chandler,4809170631.0,85226-5175,Arizona,3155 W Chandler Blvd,[],2018-08-23T23:21:21.165Z,http://www.bjsrestaurants.com
micro,Tucson,United States,9,32.201608314954,-110.82177857113399,BlackRock Brewers,5202073203.0,85710-6767,Arizona,1664 S Research Loop Ste 200,[],2018-08-23T23:21:23.794Z,http://www.brb.beer
