city,people_served,state,url,utility_name,zip
Clifton,310120,NJ,https://www.ewg.org/tapwater/system.php?pws=NJ1605002,Passaic Valley Water Commission,07460
Cherry Hill,217230,NJ,https://www.ewg.org/tapwater/system.php?pws=NJ0712001,NJ American Water - Short Hills,07460
Cedar Knolls,62050,NJ,https://www.ewg.org/tapwater/system.php?pws=NJ1424001,Southeast Morris County Municipal Utilities Authority,07460
Wayne,55000,NJ,https://www.ewg.org/tapwater/system.php?pws=NJ1614001,Wayne Township Division of Water,07460
Parsippany,50400,NJ,https://www.ewg.org/tapwater/system.php?pws=NJ1429001,Parsippany-Troy Hills Water Department,07460
Randolph Twp,32980,NJ,https://www.ewg.org/tapwater/system.php?pws=NJ1432001,Morris County MUA,07460
Dover,27806,NJ,https://www.ewg.org/tapwater/system.php?pws=NJ1409001,Dover Water Commission,07460
Montville,22000,NJ,https://www.ewg.org/tapwater/system.php?pws=NJ1421003,Montville Twp MUA,07460
Hawthorne Boro,21006,NJ,https://www.ewg.org/tapwater/system.php?pws=NJ1604001,Hawthorne Water Department,07460
Sparta,17628,NJ,https://www.ewg.org/tapwater/system.php?pws=NJ1918004,Sparta Twp Water Utility - Lake Mohawk,07460
