city,people_served,state,url,utility_name,zip
Verona,23630,VA,https://www.ewg.org/tapwater/system.php?pws=VA2015575,South River Sanitary District,24441
Harrisonburg,10153,VA,https://www.ewg.org/tapwater/system.php?pws=VA2165705,Three Springs Regional - Rcpw,24441
Bridgewater,5644,VA,https://www.ewg.org/tapwater/system.php?pws=VA2165045,"Bridgewater, Town of",24441
Verona,5433,VA,https://www.ewg.org/tapwater/system.php?pws=VA2015725,Verona Sanitary District - Acsa,24441
Broadway,3671,VA,https://www.ewg.org/tapwater/system.php?pws=VA2165060,"Broadway, Town of",24441
La Habra Heights,5379,CA,https://www.ewg.org/tapwater/system.php?pws=CA1910218,La Habra Heights County Water District,90631
Commerce,0,CA,https://www.ewg.org/tapwater/system.php?pws=CA1910253,Central Basin Municipal Water District,90631
Covina,59169,CA,https://www.ewg.org/tapwater/system.php?pws=CA1910174,Suburban Water Systems - Whittier,90631
Fullerton,138251,CA,https://www.ewg.org/tapwater/system.php?pws=CA3010010,City of Fullerton,90631
Commerce,0,CA,https://www.ewg.org/tapwater/system.php?pws=CA1910253,Central Basin Municipal Water District,90631
El Monte,226904,CA,https://www.ewg.org/tapwater/system.php?pws=CA1910039,San Gabriel Valley Water Company- El Monte,90631
Claremont,0,CA,https://www.ewg.org/tapwater/system.php?pws=CA1910041,Three Valleys Municipal Water District,90631
Rowland Heights,62106,CA,https://www.ewg.org/tapwater/system.php?pws=CA1910194,Rowland Water District,90631
La Habra Heights,5379,CA,https://www.ewg.org/tapwater/system.php?pws=CA1910218,La Habra Heights County Water District,90631
Brea,41394,CA,https://www.ewg.org/tapwater/system.php?pws=CA3010002,City Of Brea,90631
Commerce,0,CA,https://www.ewg.org/tapwater/system.php?pws=CA1910253,Central Basin Municipal Water District,90631
Commerce,0,CA,https://www.ewg.org/tapwater/system.php?pws=CA1910253,Central Basin Municipal Water District,90631
Covina,59169,CA,https://www.ewg.org/tapwater/system.php?pws=CA1910174,Suburban Water Systems - Whittier,90631
La Habra Heights,5379,CA,https://www.ewg.org/tapwater/system.php?pws=CA1910218,La Habra Heights County Water District,90631
Commerce,0,CA,https://www.ewg.org/tapwater/system.php?pws=CA1910253,Central Basin Municipal Water District,90631
Rowland Heights,62106,CA,https://www.ewg.org/tapwater/system.php?pws=CA1910194,Rowland Water District,90631
La Habra Heights,5379,CA,https://www.ewg.org/tapwater/system.php?pws=CA1910218,La Habra Heights County Water District,90631
Commerce,0,CA,https://www.ewg.org/tapwater/system.php?pws=CA1910253,Central Basin Municipal Water District,90631
Rowland Heights,62106,CA,https://www.ewg.org/tapwater/system.php?pws=CA1910194,Rowland Water District,90631
La Habra,60239,CA,https://www.ewg.org/tapwater/system.php?pws=CA3010018,City of La Habra,90631
La Habra Heights,5379,CA,https://www.ewg.org/tapwater/system.php?pws=CA1910218,La Habra Heights County Water District,90631
Covina,56953,CA,https://www.ewg.org/tapwater/system.php?pws=CA1910059,Suburban Water Systems - La Mirada,90631
La Habra,60239,CA,https://www.ewg.org/tapwater/system.php?pws=CA3010018,City of La Habra,90631
