,1_star_count,2_star_count,3_star_count,4_star_count,5_star_count,Fri,Mon,Sat,Sun,Thu,Tue,Wed,category,city,claimed_status,health_rating,moreInfoVal,moreInfoVar,name,price_range,rating,ratings,reviews,street
,1,9,3,19,40,2:00 pm - 11:00 pm,3:00 pm - 10:00 pm,12:00 pm - 11:00 pm,12:00 pm - 8:00 pm,3:00 pm - 10:00 pm,"3:00 pm - 10:00 pm
        
                Closed now",3:00 pm - 10:00 pm,Breweries,Lakewood,Claimed,,No,Take-out,WestFax Brewing Co.,Inexpensive,,4.0,72 reviews,6733 W Colfax Ave
,1,9,3,19,40,2:00 pm - 11:00 pm,3:00 pm - 10:00 pm,12:00 pm - 11:00 pm,12:00 pm - 8:00 pm,3:00 pm - 10:00 pm,"3:00 pm - 10:00 pm
        
                Closed now",3:00 pm - 10:00 pm,Breweries,Lakewood,Claimed,,Yes,Accepts Credit Cards,WestFax Brewing Co.,Inexpensive,,4.0,72 reviews,6733 W Colfax Ave
,1,9,3,19,40,2:00 pm - 11:00 pm,3:00 pm - 10:00 pm,12:00 pm - 11:00 pm,12:00 pm - 8:00 pm,3:00 pm - 10:00 pm,"3:00 pm - 10:00 pm
        
                Closed now",3:00 pm - 10:00 pm,Breweries,Lakewood,Claimed,,No,Accepts Apple Pay,WestFax Brewing Co.,Inexpensive,,4.0,72 reviews,6733 W Colfax Ave
,1,9,3,19,40,2:00 pm - 11:00 pm,3:00 pm - 10:00 pm,12:00 pm - 11:00 pm,12:00 pm - 8:00 pm,3:00 pm - 10:00 pm,"3:00 pm - 10:00 pm
        
                Closed now",3:00 pm - 10:00 pm,Breweries,Lakewood,Claimed,,Yes,Accepts Google Pay,WestFax Brewing Co.,Inexpensive,,4.0,72 reviews,6733 W Colfax Ave
,1,9,3,19,40,2:00 pm - 11:00 pm,3:00 pm - 10:00 pm,12:00 pm - 11:00 pm,12:00 pm - 8:00 pm,3:00 pm - 10:00 pm,"3:00 pm - 10:00 pm
        
                Closed now",3:00 pm - 10:00 pm,Breweries,Lakewood,Claimed,,No,Accepts Cryptocurrency,WestFax Brewing Co.,Inexpensive,,4.0,72 reviews,6733 W Colfax Ave
,1,9,3,19,40,2:00 pm - 11:00 pm,3:00 pm - 10:00 pm,12:00 pm - 11:00 pm,12:00 pm - 8:00 pm,3:00 pm - 10:00 pm,"3:00 pm - 10:00 pm
        
                Closed now",3:00 pm - 10:00 pm,Breweries,Lakewood,Claimed,,Private Lot,Parking,WestFax Brewing Co.,Inexpensive,,4.0,72 reviews,6733 W Colfax Ave
,1,9,3,19,40,2:00 pm - 11:00 pm,3:00 pm - 10:00 pm,12:00 pm - 11:00 pm,12:00 pm - 8:00 pm,3:00 pm - 10:00 pm,"3:00 pm - 10:00 pm
        
                Closed now",3:00 pm - 10:00 pm,Breweries,Lakewood,Claimed,,Yes,Bike Parking,WestFax Brewing Co.,Inexpensive,,4.0,72 reviews,6733 W Colfax Ave
,1,9,3,19,40,2:00 pm - 11:00 pm,3:00 pm - 10:00 pm,12:00 pm - 11:00 pm,12:00 pm - 8:00 pm,3:00 pm - 10:00 pm,"3:00 pm - 10:00 pm
        
                Closed now",3:00 pm - 10:00 pm,Breweries,Lakewood,Claimed,,Yes,Wheelchair Accessible,WestFax Brewing Co.,Inexpensive,,4.0,72 reviews,6733 W Colfax Ave
,1,9,3,19,40,2:00 pm - 11:00 pm,3:00 pm - 10:00 pm,12:00 pm - 11:00 pm,12:00 pm - 8:00 pm,3:00 pm - 10:00 pm,"3:00 pm - 10:00 pm
        
                Closed now",3:00 pm - 10:00 pm,Breweries,Lakewood,Claimed,,Average,Noise Level,WestFax Brewing Co.,Inexpensive,,4.0,72 reviews,6733 W Colfax Ave
,1,9,3,19,40,2:00 pm - 11:00 pm,3:00 pm - 10:00 pm,12:00 pm - 11:00 pm,12:00 pm - 8:00 pm,3:00 pm - 10:00 pm,"3:00 pm - 10:00 pm
        
                Closed now",3:00 pm - 10:00 pm,Breweries,Lakewood,Claimed,,Yes,Good For Happy Hour,WestFax Brewing Co.,Inexpensive,,4.0,72 reviews,6733 W Colfax Ave
,1,9,3,19,40,2:00 pm - 11:00 pm,3:00 pm - 10:00 pm,12:00 pm - 11:00 pm,12:00 pm - 8:00 pm,3:00 pm - 10:00 pm,"3:00 pm - 10:00 pm
        
                Closed now",3:00 pm - 10:00 pm,Breweries,Lakewood,Claimed,,No,Caters,WestFax Brewing Co.,Inexpensive,,4.0,72 reviews,6733 W Colfax Ave
