1_star_count,2_star_count,3_star_count,4_star_count,5_star_count,Fri,Mon,Sat,Sun,Thu,Tue,Wed,category,city,claimed_status,health_rating,moreInfoVal,moreInfoVar,name,price_range,rating,ratings,reviews,street
0,0,1,2,23,4:00 pm - 11:00 pm,Closed,12:00 pm - 11:00 pm,12:00 pm - 6:00 pm,4:00 pm - 10:00 pm,Closed,4:00 pm - 10:00 pm,Breweries,Fort Myers,Claimed,,No,Take-out,Palm City Brewing,Inexpensive,,5.0,26 reviews,7887 Drew Cir Ste 130
0,0,1,2,23,4:00 pm - 11:00 pm,Closed,12:00 pm - 11:00 pm,12:00 pm - 6:00 pm,4:00 pm - 10:00 pm,Closed,4:00 pm - 10:00 pm,Breweries,Fort Myers,Claimed,,Yes,Accepts Credit Cards,Palm City Brewing,Inexpensive,,5.0,26 reviews,7887 Drew Cir Ste 130
0,0,1,2,23,4:00 pm - 11:00 pm,Closed,12:00 pm - 11:00 pm,12:00 pm - 6:00 pm,4:00 pm - 10:00 pm,Closed,4:00 pm - 10:00 pm,Breweries,Fort Myers,Claimed,,Private Lot,Parking,Palm City Brewing,Inexpensive,,5.0,26 reviews,7887 Drew Cir Ste 130
0,0,1,2,23,4:00 pm - 11:00 pm,Closed,12:00 pm - 11:00 pm,12:00 pm - 6:00 pm,4:00 pm - 10:00 pm,Closed,4:00 pm - 10:00 pm,Breweries,Fort Myers,Claimed,,Yes,Bike Parking,Palm City Brewing,Inexpensive,,5.0,26 reviews,7887 Drew Cir Ste 130
0,0,1,2,23,4:00 pm - 11:00 pm,Closed,12:00 pm - 11:00 pm,12:00 pm - 6:00 pm,4:00 pm - 10:00 pm,Closed,4:00 pm - 10:00 pm,Breweries,Fort Myers,Claimed,,Yes,Wheelchair Accessible,Palm City Brewing,Inexpensive,,5.0,26 reviews,7887 Drew Cir Ste 130
0,0,1,2,23,4:00 pm - 11:00 pm,Closed,12:00 pm - 11:00 pm,12:00 pm - 6:00 pm,4:00 pm - 10:00 pm,Closed,4:00 pm - 10:00 pm,Breweries,Fort Myers,Claimed,,Average,Noise Level,Palm City Brewing,Inexpensive,,5.0,26 reviews,7887 Drew Cir Ste 130
0,0,1,2,23,4:00 pm - 11:00 pm,Closed,12:00 pm - 11:00 pm,12:00 pm - 6:00 pm,4:00 pm - 10:00 pm,Closed,4:00 pm - 10:00 pm,Breweries,Fort Myers,Claimed,,No,Good For Happy Hour,Palm City Brewing,Inexpensive,,5.0,26 reviews,7887 Drew Cir Ste 130
0,0,1,2,23,4:00 pm - 11:00 pm,Closed,12:00 pm - 11:00 pm,12:00 pm - 6:00 pm,4:00 pm - 10:00 pm,Closed,4:00 pm - 10:00 pm,Breweries,Fort Myers,Claimed,,No,Dogs Allowed,Palm City Brewing,Inexpensive,,5.0,26 reviews,7887 Drew Cir Ste 130
0,0,1,2,23,4:00 pm - 11:00 pm,Closed,12:00 pm - 11:00 pm,12:00 pm - 6:00 pm,4:00 pm - 10:00 pm,Closed,4:00 pm - 10:00 pm,Breweries,Fort Myers,Claimed,,No,Caters,Palm City Brewing,Inexpensive,,5.0,26 reviews,7887 Drew Cir Ste 130
,,,,,,,,,,,,,,,,NA,NA,Saint Michael's Brewing Company,,NA,,NA,
3,5,7,39,29,12:00 pm - 11:00 pm,12:00 pm - 9:00 pm,12:00 pm - 11:00 pm,12:00 pm - 6:00 pm,12:00 pm - 9:00 pm,"12:00 pm - 9:00 pm
        
                Open now",12:00 pm - 9:00 pm,Breweries,Pensacola,,,No,Take-out,Pensacola Bay Brewery,Inexpensive,,4.0,83 reviews,225 E Zaragoza St
3,5,7,39,29,12:00 pm - 11:00 pm,12:00 pm - 9:00 pm,12:00 pm - 11:00 pm,12:00 pm - 6:00 pm,12:00 pm - 9:00 pm,"12:00 pm - 9:00 pm
        
                Open now",12:00 pm - 9:00 pm,Breweries,Pensacola,,,No,Accepts Credit Cards,Pensacola Bay Brewery,Inexpensive,,4.0,83 reviews,225 E Zaragoza St
3,5,7,39,29,12:00 pm - 11:00 pm,12:00 pm - 9:00 pm,12:00 pm - 11:00 pm,12:00 pm - 6:00 pm,12:00 pm - 9:00 pm,"12:00 pm - 9:00 pm
        
                Open now",12:00 pm - 9:00 pm,Breweries,Pensacola,,,No,Accepts Apple Pay,Pensacola Bay Brewery,Inexpensive,,4.0,83 reviews,225 E Zaragoza St
3,5,7,39,29,12:00 pm - 11:00 pm,12:00 pm - 9:00 pm,12:00 pm - 11:00 pm,12:00 pm - 6:00 pm,12:00 pm - 9:00 pm,"12:00 pm - 9:00 pm
        
                Open now",12:00 pm - 9:00 pm,Breweries,Pensacola,,,No,Accepts Google Pay,Pensacola Bay Brewery,Inexpensive,,4.0,83 reviews,225 E Zaragoza St
3,5,7,39,29,12:00 pm - 11:00 pm,12:00 pm - 9:00 pm,12:00 pm - 11:00 pm,12:00 pm - 6:00 pm,12:00 pm - 9:00 pm,"12:00 pm - 9:00 pm
        
                Open now",12:00 pm - 9:00 pm,Breweries,Pensacola,,,Street,Parking,Pensacola Bay Brewery,Inexpensive,,4.0,83 reviews,225 E Zaragoza St
3,5,7,39,29,12:00 pm - 11:00 pm,12:00 pm - 9:00 pm,12:00 pm - 11:00 pm,12:00 pm - 6:00 pm,12:00 pm - 9:00 pm,"12:00 pm - 9:00 pm
        
                Open now",12:00 pm - 9:00 pm,Breweries,Pensacola,,,Yes,Bike Parking,Pensacola Bay Brewery,Inexpensive,,4.0,83 reviews,225 E Zaragoza St
3,5,7,39,29,12:00 pm - 11:00 pm,12:00 pm - 9:00 pm,12:00 pm - 11:00 pm,12:00 pm - 6:00 pm,12:00 pm - 9:00 pm,"12:00 pm - 9:00 pm
        
                Open now",12:00 pm - 9:00 pm,Breweries,Pensacola,,,No,Caters,Pensacola Bay Brewery,Inexpensive,,4.0,83 reviews,225 E Zaragoza St
3,5,7,39,29,12:00 pm - 11:00 pm,12:00 pm - 9:00 pm,12:00 pm - 11:00 pm,12:00 pm - 6:00 pm,12:00 pm - 9:00 pm,"12:00 pm - 9:00 pm
        
                Open now",12:00 pm - 9:00 pm,Breweries,Pensacola,,,Yes,Gender Neutral Restrooms,Pensacola Bay Brewery,Inexpensive,,4.0,83 reviews,225 E Zaragoza St
,,,,,,,,,,,,,Orange Park,,,NA,NA,Pinglehead Brewery / Brewer's Pizza,,NA,,NA,14B  Blanding Blvd Ste B
3,7,6,24,70,11:30 am - 12:00 am,4:00 pm - 11:00 pm,12:00 pm - 12:00 am,12:00 pm - 9:00 pm,4:00 pm - 11:00 pm,"4:00 pm - 11:00 pm
        
                Open now",4:00 pm - 11:00 pm,"American (New),Brewpubs",Titusville,Claimed,,No,Takes Reservations,Playalinda Brewing Company,$11-30,,4.5,110 reviews,305 S Washington Ave
3,7,6,24,70,11:30 am - 12:00 am,4:00 pm - 11:00 pm,12:00 pm - 12:00 am,12:00 pm - 9:00 pm,4:00 pm - 11:00 pm,"4:00 pm - 11:00 pm
        
                Open now",4:00 pm - 11:00 pm,"American (New),Brewpubs",Titusville,Claimed,,No,Delivery,Playalinda Brewing Company,$11-30,,4.5,110 reviews,305 S Washington Ave
3,7,6,24,70,11:30 am - 12:00 am,4:00 pm - 11:00 pm,12:00 pm - 12:00 am,12:00 pm - 9:00 pm,4:00 pm - 11:00 pm,"4:00 pm - 11:00 pm
        
                Open now",4:00 pm - 11:00 pm,"American (New),Brewpubs",Titusville,Claimed,,Yes,Take-out,Playalinda Brewing Company,$11-30,,4.5,110 reviews,305 S Washington Ave
3,7,6,24,70,11:30 am - 12:00 am,4:00 pm - 11:00 pm,12:00 pm - 12:00 am,12:00 pm - 9:00 pm,4:00 pm - 11:00 pm,"4:00 pm - 11:00 pm
        
                Open now",4:00 pm - 11:00 pm,"American (New),Brewpubs",Titusville,Claimed,,Yes,Accepts Credit Cards,Playalinda Brewing Company,$11-30,,4.5,110 reviews,305 S Washington Ave
3,7,6,24,70,11:30 am - 12:00 am,4:00 pm - 11:00 pm,12:00 pm - 12:00 am,12:00 pm - 9:00 pm,4:00 pm - 11:00 pm,"4:00 pm - 11:00 pm
        
                Open now",4:00 pm - 11:00 pm,"American (New),Brewpubs",Titusville,Claimed,,No,Accepts Google Pay,Playalinda Brewing Company,$11-30,,4.5,110 reviews,305 S Washington Ave
3,7,6,24,70,11:30 am - 12:00 am,4:00 pm - 11:00 pm,12:00 pm - 12:00 am,12:00 pm - 9:00 pm,4:00 pm - 11:00 pm,"4:00 pm - 11:00 pm
        
                Open now",4:00 pm - 11:00 pm,"American (New),Brewpubs",Titusville,Claimed,,Street,Parking,Playalinda Brewing Company,$11-30,,4.5,110 reviews,305 S Washington Ave
3,7,6,24,70,11:30 am - 12:00 am,4:00 pm - 11:00 pm,12:00 pm - 12:00 am,12:00 pm - 9:00 pm,4:00 pm - 11:00 pm,"4:00 pm - 11:00 pm
        
                Open now",4:00 pm - 11:00 pm,"American (New),Brewpubs",Titusville,Claimed,,Yes,Bike Parking,Playalinda Brewing Company,$11-30,,4.5,110 reviews,305 S Washington Ave
3,7,6,24,70,11:30 am - 12:00 am,4:00 pm - 11:00 pm,12:00 pm - 12:00 am,12:00 pm - 9:00 pm,4:00 pm - 11:00 pm,"4:00 pm - 11:00 pm
        
                Open now",4:00 pm - 11:00 pm,"American (New),Brewpubs",Titusville,Claimed,,Yes,Wheelchair Accessible,Playalinda Brewing Company,$11-30,,4.5,110 reviews,305 S Washington Ave
