1_star_count,2_star_count,3_star_count,4_star_count,5_star_count,Fri,Mon,Sat,Sun,Thu,Tue,Wed,category,city,claimed_status,health_rating,moreInfoVal,moreInfoVar,name,price_range,rating,ratings,reviews,street
,,,,,,,,,,,,,,,,NA,NA,The Barn Brewery,,NA,,NA,
,,,,,,,,,,,,,,,,NA,NA,Blackrock Beer Co,,NA,,NA,
,,,,,,,,,,,,,Wallingford,,,NA,NA,Cliffside Brewing,,NA,,NA,16B Center St
,,,,,,,,,,,,,,,,NA,NA,Donderwolk,,NA,,NA,St Anthoniusplaats 14
,,,,,,,,,,,,,,,,NA,NA,Great New London Brewing Co / Safe Harbor Brewing,,NA,,NA,
,,,,,,,,,,,,,New London,,,NA,NA,Tox Brewing Company,,NA,,NA,
,,,,,,,,,,,,,,,,NA,NA,Handsome Beer Company,,NA,,NA,
,,,,,,,,,,,,,,,,NA,NA,Brewery In Planning - Asheville,,NA,,NA,
,,,,,,,,,,,,,,,,NA,NA,Cayo Hueso Brewing,,NA,,NA,
,,,,,,,,,,,,,Clermont,,,NA,NA,Clermont Brewing Company,,NA,,NA,
,,,,,,,,,,,,,Santa Rosa Beach,,,NA,NA,Grayton Beer Brewpub,,NA,,NA,217 Serenoa Rd
,,,,,,,,,,,,,Tallahassee,,,NA,NA,Lake Tribe Brewing,,NA,,NA,3357 Garber Dr Unit 4
,,,,,,,,,,,,,,,,NA,NA,Pirate Republic Brewing,,NA,,NA,"Woodes Rogers Walk, Nassau, Bahamas"
,,,,,,,,,,,,,,,,NA,NA,Unseen Creatures Brewing & Blending,,NA,,NA,
,,,,,,,,,,,,,,,,NA,NA,Brewery in Planning - Savannah,,NA,,NA,
,,,,,,,,,,,,,,,,NA,NA,"Brewery In Planning - Kahului, HI",,NA,,NA,
,,,,,,,,,,,,,,,,NA,NA,Broken Boundary Brewery,,NA,,NA,
,,,,,,,,,,,,,Buhl,,,NA,NA,Magic Valley Brewing,,NA,,NA,208 Broadway Ave N
,,,,,,,,,,,,,,,,NA,NA,5 Rabbit Cerveceria Inc,,NA,,NA,
,,,,,,,,,,,,,,,,NA,NA,"Brewery In Planning- Chicago, IL",,NA,,NA,
,,,,,,,,,,,,,Peoria,,,NA,NA,Bearded Owl Brewing,,NA,,NA,112 State St Ste 1A
,,,,,,,,,,,,,Wheaton,,,NA,NA,Emmett's Brewing Co - Wheaton,,NA,,NA,121 W Front St
3,0,0,5,12,11:00 am - 12:00 am,"11:00 am - 12:00 am
        
                Open now",11:00 am - 12:00 am,11:00 am - 12:00 am,11:00 am - 12:00 am,11:00 am - 12:00 am,11:00 am - 12:00 am,Breweries,Peoria,Claimed,,Yes,Take-out,Industry Brewing,Moderate,,4.0,20 reviews,8012 N Hale Ave
3,0,0,5,12,11:00 am - 12:00 am,"11:00 am - 12:00 am
        
                Open now",11:00 am - 12:00 am,11:00 am - 12:00 am,11:00 am - 12:00 am,11:00 am - 12:00 am,11:00 am - 12:00 am,Breweries,Peoria,Claimed,,Yes,Accepts Credit Cards,Industry Brewing,Moderate,,4.0,20 reviews,8012 N Hale Ave
3,0,0,5,12,11:00 am - 12:00 am,"11:00 am - 12:00 am
        
                Open now",11:00 am - 12:00 am,11:00 am - 12:00 am,11:00 am - 12:00 am,11:00 am - 12:00 am,11:00 am - 12:00 am,Breweries,Peoria,Claimed,,No,Accepts Apple Pay,Industry Brewing,Moderate,,4.0,20 reviews,8012 N Hale Ave
3,0,0,5,12,11:00 am - 12:00 am,"11:00 am - 12:00 am
        
                Open now",11:00 am - 12:00 am,11:00 am - 12:00 am,11:00 am - 12:00 am,11:00 am - 12:00 am,11:00 am - 12:00 am,Breweries,Peoria,Claimed,,Yes,Bike Parking,Industry Brewing,Moderate,,4.0,20 reviews,8012 N Hale Ave
3,0,0,5,12,11:00 am - 12:00 am,"11:00 am - 12:00 am
        
                Open now",11:00 am - 12:00 am,11:00 am - 12:00 am,11:00 am - 12:00 am,11:00 am - 12:00 am,11:00 am - 12:00 am,Breweries,Peoria,Claimed,,Yes,Caters,Industry Brewing,Moderate,,4.0,20 reviews,8012 N Hale Ave
,,,,,,,,,,,,,,,,NA,NA,Riverlands Brewing Company,,NA,,NA,
