name,city,street
7 Hills Brewing Company,Dubuque,1085 Washington St
Backpocket Brewing Co,Coralville,903 Quarry Rd
Barn Town Brewing Co.,West Des Moines,9500 University Ave
Boone Valley Brewing Co,Boone,816 7th St
Boot N Flute Brewery / Guild Wurst Tavern,Coralville,53 2nd St
Brioux City Brewery,Sioux City,1306 Court St
Carroll Brewing Co.,Carroll,226 E 5th St
Catfish Charlies / Catfish Creek Brew Pub,Dubuque,1630 E 16th St
Court Avenue Brewing Co,Des Moines,309 Court Ave Ste 100
Dimensional Brewing Co.,Dubuque,
Fenceline Beer Lab,Huxley,
Green Tree Brewery,Le Claire,309 N Cody Road
Lake Time Brewery,Clear Lake,801 Main Ave Ste C
New American Brewing Company,Ankeny,1631 SW Main St Ste 105
NoCoast Beer Co,Oskaloosa,1407 17th Ave E Ste B
Okoboji Brewing Co,Spirit Lake,3705 Highway 71
PIVO Brewery,Calmar,101 Huber Dr
Brewery in Planning - Miami County,Miami County,
Drink Me Brewing,Sibley,210 9th St
Dubuque Star Brands / Otter Tail Brewery,Muscatine,132 Sheridan St
Fat Hill Brewing,Mason City,17 N Federal Ave
Fenders Brewing Company,Polk City,212 W Van Dorn St
Fox Brewing,West Des Moines,103 S 11th St
Front Street Brewery - IA,Davenport,208 E River Dr
Brewery in Planning - Burlington,Burlington,
Center Pivot,Quinter,
TractorLift Brewery,Humboldt,708 Sumner Ave
Beaver Brewery At Mo's Place,Beaver,1908 Elm St
Blind Tiger Brewery & Restaurant,Topeka,417 SW 37th St
Brew Lab,Overland Park,7925 Marty St
Granite City Food & Brewery (#12),Kansas City,1701 Village West Pkwy
Granite City Food & Brewery (#13),Olathe,15085 W 119th St
Grinderâs High Noon Brewery,Leavenworth,206 Choctaw St
Happy Basset Brewing Company,Topeka,6044 SW 29th St
Kansas Territory Brewing,Washington,310 C St
The Jolly Fox Brewery,Pittsburg,
Transport Brewery,Shawnee,
Union Works Brewery LLC,Humboldt,
Willcott Brewing Company,Holton,
Yankee Tank Brewing Company,Lawrence,807 E 23rd St Ste J
23 Brewing Company / Lizzie B's Cafe,Prestonsburg,2010 KY Route 321
Against the Grain Beer Garden,Louisville,
Akasha Brewing Company,Louisville,909 E Market St Ste 700
Brewery in Planning - Los Alamos,Los Alamos,
Brewery in Planning - Louisville,Louisville,
Flywheel Brewing Company,Elizabethtown,218 S Mulberry St Ste 103
Nortons Brewing Co.,Wichita,125 N Saint Francis St
Walnut River Brewing Company,El Dorado,111 W Locust Ave
"Wichita Brewing Co Production, LLC",Wichita,727 E Osie St
Against the Grain Production Facility,Louisville,1800 Northwestern Pkwy
