1_star_count,2_star_count,3_star_count,4_star_count,5_star_count,Fri,Mon,Sat,Sun,Thu,Tue,Wed,category,city,claimed_status,health_rating,moreInfoVal,moreInfoVar,name,price_range,rating,ratings,reviews,street
2,8,13,79,118,12:00 pm - 12:30 am,"12:00 pm - 10:00 pm
        
                Open now",12:00 pm - 12:30 am,12:00 pm - 10:00 pm,12:00 pm - 11:00 pm,12:00 pm - 10:00 pm,12:00 pm - 10:00 pm,Breweries,Birmingham,Claimed,,No,Take-out,Avondale Brewing Co,Inexpensive,,4.5,220 reviews,201 41st St S
2,8,13,79,118,12:00 pm - 12:30 am,"12:00 pm - 10:00 pm
        
                Open now",12:00 pm - 12:30 am,12:00 pm - 10:00 pm,12:00 pm - 11:00 pm,12:00 pm - 10:00 pm,12:00 pm - 10:00 pm,Breweries,Birmingham,Claimed,,Yes,Accepts Credit Cards,Avondale Brewing Co,Inexpensive,,4.5,220 reviews,201 41st St S
2,8,13,79,118,12:00 pm - 12:30 am,"12:00 pm - 10:00 pm
        
                Open now",12:00 pm - 12:30 am,12:00 pm - 10:00 pm,12:00 pm - 11:00 pm,12:00 pm - 10:00 pm,12:00 pm - 10:00 pm,Breweries,Birmingham,Claimed,,No,Accepts Apple Pay,Avondale Brewing Co,Inexpensive,,4.5,220 reviews,201 41st St S
2,8,13,79,118,12:00 pm - 12:30 am,"12:00 pm - 10:00 pm
        
                Open now",12:00 pm - 12:30 am,12:00 pm - 10:00 pm,12:00 pm - 11:00 pm,12:00 pm - 10:00 pm,12:00 pm - 10:00 pm,Breweries,Birmingham,Claimed,,No,Accepts Google Pay,Avondale Brewing Co,Inexpensive,,4.5,220 reviews,201 41st St S
2,8,13,79,118,12:00 pm - 12:30 am,"12:00 pm - 10:00 pm
        
                Open now",12:00 pm - 12:30 am,12:00 pm - 10:00 pm,12:00 pm - 11:00 pm,12:00 pm - 10:00 pm,12:00 pm - 10:00 pm,Breweries,Birmingham,Claimed,,Street,Parking,Avondale Brewing Co,Inexpensive,,4.5,220 reviews,201 41st St S
2,8,13,79,118,12:00 pm - 12:30 am,"12:00 pm - 10:00 pm
        
                Open now",12:00 pm - 12:30 am,12:00 pm - 10:00 pm,12:00 pm - 11:00 pm,12:00 pm - 10:00 pm,12:00 pm - 10:00 pm,Breweries,Birmingham,Claimed,,Yes,Bike Parking,Avondale Brewing Co,Inexpensive,,4.5,220 reviews,201 41st St S
2,8,13,79,118,12:00 pm - 12:30 am,"12:00 pm - 10:00 pm
        
                Open now",12:00 pm - 12:30 am,12:00 pm - 10:00 pm,12:00 pm - 11:00 pm,12:00 pm - 10:00 pm,12:00 pm - 10:00 pm,Breweries,Birmingham,Claimed,,Average,Noise Level,Avondale Brewing Co,Inexpensive,,4.5,220 reviews,201 41st St S
2,8,13,79,118,12:00 pm - 12:30 am,"12:00 pm - 10:00 pm
        
                Open now",12:00 pm - 12:30 am,12:00 pm - 10:00 pm,12:00 pm - 11:00 pm,12:00 pm - 10:00 pm,12:00 pm - 10:00 pm,Breweries,Birmingham,Claimed,,Yes,Good For Happy Hour,Avondale Brewing Co,Inexpensive,,4.5,220 reviews,201 41st St S
2,8,13,79,118,12:00 pm - 12:30 am,"12:00 pm - 10:00 pm
        
                Open now",12:00 pm - 12:30 am,12:00 pm - 10:00 pm,12:00 pm - 11:00 pm,12:00 pm - 10:00 pm,12:00 pm - 10:00 pm,Breweries,Birmingham,Claimed,,Yes,Dogs Allowed,Avondale Brewing Co,Inexpensive,,4.5,220 reviews,201 41st St S
2,8,13,79,118,12:00 pm - 12:30 am,"12:00 pm - 10:00 pm
        
                Open now",12:00 pm - 12:30 am,12:00 pm - 10:00 pm,12:00 pm - 11:00 pm,12:00 pm - 10:00 pm,12:00 pm - 10:00 pm,Breweries,Birmingham,Claimed,,No,Caters,Avondale Brewing Co,Inexpensive,,4.5,220 reviews,201 41st St S
2,8,13,79,118,12:00 pm - 12:30 am,"12:00 pm - 10:00 pm
        
                Open now",12:00 pm - 12:30 am,12:00 pm - 10:00 pm,12:00 pm - 11:00 pm,12:00 pm - 10:00 pm,12:00 pm - 10:00 pm,Breweries,Birmingham,Claimed,,Yes,Gender Neutral Restrooms,Avondale Brewing Co,Inexpensive,,4.5,220 reviews,201 41st St S
,,,,,,,,,,,,,Tuscaloosa,,,NA,NA,Band of Brothers Brewing Company,,NA,,NA,1605 23rd Ave
1,0,8,36,51,12:00 pm - 12:00 am,"12:00 pm - 10:00 pm
        
                Open now",12:00 pm - 12:00 am,12:00 pm - 8:00 pm,12:00 pm - 10:00 pm,12:00 pm - 10:00 pm,12:00 pm - 10:00 pm,Breweries,Birmingham,Claimed,,No,Take-out,Trim Tab Brewing,Inexpensive,,4.5,96 reviews,2721 5th Ave S
1,0,8,36,51,12:00 pm - 12:00 am,"12:00 pm - 10:00 pm
        
                Open now",12:00 pm - 12:00 am,12:00 pm - 8:00 pm,12:00 pm - 10:00 pm,12:00 pm - 10:00 pm,12:00 pm - 10:00 pm,Breweries,Birmingham,Claimed,,Yes,Accepts Credit Cards,Trim Tab Brewing,Inexpensive,,4.5,96 reviews,2721 5th Ave S
1,0,8,36,51,12:00 pm - 12:00 am,"12:00 pm - 10:00 pm
        
                Open now",12:00 pm - 12:00 am,12:00 pm - 8:00 pm,12:00 pm - 10:00 pm,12:00 pm - 10:00 pm,12:00 pm - 10:00 pm,Breweries,Birmingham,Claimed,,No,Accepts Apple Pay,Trim Tab Brewing,Inexpensive,,4.5,96 reviews,2721 5th Ave S
1,0,8,36,51,12:00 pm - 12:00 am,"12:00 pm - 10:00 pm
        
                Open now",12:00 pm - 12:00 am,12:00 pm - 8:00 pm,12:00 pm - 10:00 pm,12:00 pm - 10:00 pm,12:00 pm - 10:00 pm,Breweries,Birmingham,Claimed,,No,Accepts Google Pay,Trim Tab Brewing,Inexpensive,,4.5,96 reviews,2721 5th Ave S
1,0,8,36,51,12:00 pm - 12:00 am,"12:00 pm - 10:00 pm
        
                Open now",12:00 pm - 12:00 am,12:00 pm - 8:00 pm,12:00 pm - 10:00 pm,12:00 pm - 10:00 pm,12:00 pm - 10:00 pm,Breweries,Birmingham,Claimed,,"Street, Private Lot",Parking,Trim Tab Brewing,Inexpensive,,4.5,96 reviews,2721 5th Ave S
1,0,8,36,51,12:00 pm - 12:00 am,"12:00 pm - 10:00 pm
        
                Open now",12:00 pm - 12:00 am,12:00 pm - 8:00 pm,12:00 pm - 10:00 pm,12:00 pm - 10:00 pm,12:00 pm - 10:00 pm,Breweries,Birmingham,Claimed,,Yes,Bike Parking,Trim Tab Brewing,Inexpensive,,4.5,96 reviews,2721 5th Ave S
1,0,8,36,51,12:00 pm - 12:00 am,"12:00 pm - 10:00 pm
        
                Open now",12:00 pm - 12:00 am,12:00 pm - 8:00 pm,12:00 pm - 10:00 pm,12:00 pm - 10:00 pm,12:00 pm - 10:00 pm,Breweries,Birmingham,Claimed,,No,Good for Kids,Trim Tab Brewing,Inexpensive,,4.5,96 reviews,2721 5th Ave S
1,0,8,36,51,12:00 pm - 12:00 am,"12:00 pm - 10:00 pm
        
                Open now",12:00 pm - 12:00 am,12:00 pm - 8:00 pm,12:00 pm - 10:00 pm,12:00 pm - 10:00 pm,12:00 pm - 10:00 pm,Breweries,Birmingham,Claimed,,Average,Noise Level,Trim Tab Brewing,Inexpensive,,4.5,96 reviews,2721 5th Ave S
1,0,8,36,51,12:00 pm - 12:00 am,"12:00 pm - 10:00 pm
        
                Open now",12:00 pm - 12:00 am,12:00 pm - 8:00 pm,12:00 pm - 10:00 pm,12:00 pm - 10:00 pm,12:00 pm - 10:00 pm,Breweries,Birmingham,Claimed,,Yes,Dogs Allowed,Trim Tab Brewing,Inexpensive,,4.5,96 reviews,2721 5th Ave S
1,0,8,36,51,12:00 pm - 12:00 am,"12:00 pm - 10:00 pm
        
                Open now",12:00 pm - 12:00 am,12:00 pm - 8:00 pm,12:00 pm - 10:00 pm,12:00 pm - 10:00 pm,12:00 pm - 10:00 pm,Breweries,Birmingham,Claimed,,No,Caters,Trim Tab Brewing,Inexpensive,,4.5,96 reviews,2721 5th Ave S
1,1,3,15,34,11:00 am - 11:00 pm,"11:00 am - 9:00 pm
        
                Open now",11:00 am - 11:00 pm,11:00 am - 8:00 pm,11:00 am - 11:00 pm,11:00 am - 9:00 pm,11:00 am - 9:00 pm,Breweries,Huntsville,Claimed,,Yes,Take-out,Yellowhammer Brewery,Inexpensive,,4.5,54 reviews,2600 Clinton Ave W
1,1,3,15,34,11:00 am - 11:00 pm,"11:00 am - 9:00 pm
        
                Open now",11:00 am - 11:00 pm,11:00 am - 8:00 pm,11:00 am - 11:00 pm,11:00 am - 9:00 pm,11:00 am - 9:00 pm,Breweries,Huntsville,Claimed,,Yes,Accepts Credit Cards,Yellowhammer Brewery,Inexpensive,,4.5,54 reviews,2600 Clinton Ave W
1,1,3,15,34,11:00 am - 11:00 pm,"11:00 am - 9:00 pm
        
                Open now",11:00 am - 11:00 pm,11:00 am - 8:00 pm,11:00 am - 11:00 pm,11:00 am - 9:00 pm,11:00 am - 9:00 pm,Breweries,Huntsville,Claimed,,No,Accepts Apple Pay,Yellowhammer Brewery,Inexpensive,,4.5,54 reviews,2600 Clinton Ave W
1,1,3,15,34,11:00 am - 11:00 pm,"11:00 am - 9:00 pm
        
                Open now",11:00 am - 11:00 pm,11:00 am - 8:00 pm,11:00 am - 11:00 pm,11:00 am - 9:00 pm,11:00 am - 9:00 pm,Breweries,Huntsville,Claimed,,No,Accepts Google Pay,Yellowhammer Brewery,Inexpensive,,4.5,54 reviews,2600 Clinton Ave W
1,1,3,15,34,11:00 am - 11:00 pm,"11:00 am - 9:00 pm
        
                Open now",11:00 am - 11:00 pm,11:00 am - 8:00 pm,11:00 am - 11:00 pm,11:00 am - 9:00 pm,11:00 am - 9:00 pm,Breweries,Huntsville,Claimed,,Private Lot,Parking,Yellowhammer Brewery,Inexpensive,,4.5,54 reviews,2600 Clinton Ave W
1,1,3,15,34,11:00 am - 11:00 pm,"11:00 am - 9:00 pm
        
                Open now",11:00 am - 11:00 pm,11:00 am - 8:00 pm,11:00 am - 11:00 pm,11:00 am - 9:00 pm,11:00 am - 9:00 pm,Breweries,Huntsville,Claimed,,No,Bike Parking,Yellowhammer Brewery,Inexpensive,,4.5,54 reviews,2600 Clinton Ave W
1,1,3,15,34,11:00 am - 11:00 pm,"11:00 am - 9:00 pm
        
                Open now",11:00 am - 11:00 pm,11:00 am - 8:00 pm,11:00 am - 11:00 pm,11:00 am - 9:00 pm,11:00 am - 9:00 pm,Breweries,Huntsville,Claimed,,Average,Noise Level,Yellowhammer Brewery,Inexpensive,,4.5,54 reviews,2600 Clinton Ave W
1,1,3,15,34,11:00 am - 11:00 pm,"11:00 am - 9:00 pm
        
                Open now",11:00 am - 11:00 pm,11:00 am - 8:00 pm,11:00 am - 11:00 pm,11:00 am - 9:00 pm,11:00 am - 9:00 pm,Breweries,Huntsville,Claimed,,Yes,Dogs Allowed,Yellowhammer Brewery,Inexpensive,,4.5,54 reviews,2600 Clinton Ave W
1,1,3,15,34,11:00 am - 11:00 pm,"11:00 am - 9:00 pm
        
                Open now",11:00 am - 11:00 pm,11:00 am - 8:00 pm,11:00 am - 11:00 pm,11:00 am - 9:00 pm,11:00 am - 9:00 pm,Breweries,Huntsville,Claimed,,No,Caters,Yellowhammer Brewery,Inexpensive,,4.5,54 reviews,2600 Clinton Ave W
,,,,,,,,,,,,,Wasilla,,,NA,NA,Bearpaw River Brewing Co,,NA,,NA,4605 E Palmer Wasilla Hwy
,,,,,,,,,,,,,Anchorage,,,NA,NA,King Street Brewing Co,,NA,,NA,9050 King Street
,,,,,,,,,,,,,Tucson,,,NA,NA,1912 Brewing,,NA,,NA,2045 N Forbes Blvd Ste 105
,,,,,,,,,,,,,Scottsdale,,,NA,NA,Bad Water Brewing,,NA,,NA,4216 N Brown Ave
,,,,,,,,,,,,,Chandler,,,NA,NA,BJs Restaurant & Brewery - Chandler,,NA,,NA,3155 W Chandler Blvd
1,0,4,5,14,2:30 pm - 10:00 pm,Closed,12:00 pm - 10:00 pm,Closed,2:30 pm - 10:00 pm,2:30 pm - 9:00 pm,2:30 pm - 9:00 pm,Breweries,Tucson,Claimed,,No,Take-out,BlackRock Brewers,Inexpensive,,4.5,24 reviews,1664 S Research Loop Ste 200
1,0,4,5,14,2:30 pm - 10:00 pm,Closed,12:00 pm - 10:00 pm,Closed,2:30 pm - 10:00 pm,2:30 pm - 9:00 pm,2:30 pm - 9:00 pm,Breweries,Tucson,Claimed,,Yes,Accepts Credit Cards,BlackRock Brewers,Inexpensive,,4.5,24 reviews,1664 S Research Loop Ste 200
1,0,4,5,14,2:30 pm - 10:00 pm,Closed,12:00 pm - 10:00 pm,Closed,2:30 pm - 10:00 pm,2:30 pm - 9:00 pm,2:30 pm - 9:00 pm,Breweries,Tucson,Claimed,,No,Accepts Cryptocurrency,BlackRock Brewers,Inexpensive,,4.5,24 reviews,1664 S Research Loop Ste 200
1,0,4,5,14,2:30 pm - 10:00 pm,Closed,12:00 pm - 10:00 pm,Closed,2:30 pm - 10:00 pm,2:30 pm - 9:00 pm,2:30 pm - 9:00 pm,Breweries,Tucson,Claimed,,Private Lot,Parking,BlackRock Brewers,Inexpensive,,4.5,24 reviews,1664 S Research Loop Ste 200
1,0,4,5,14,2:30 pm - 10:00 pm,Closed,12:00 pm - 10:00 pm,Closed,2:30 pm - 10:00 pm,2:30 pm - 9:00 pm,2:30 pm - 9:00 pm,Breweries,Tucson,Claimed,,Yes,Bike Parking,BlackRock Brewers,Inexpensive,,4.5,24 reviews,1664 S Research Loop Ste 200
1,0,4,5,14,2:30 pm - 10:00 pm,Closed,12:00 pm - 10:00 pm,Closed,2:30 pm - 10:00 pm,2:30 pm - 9:00 pm,2:30 pm - 9:00 pm,Breweries,Tucson,Claimed,,Yes,Wheelchair Accessible,BlackRock Brewers,Inexpensive,,4.5,24 reviews,1664 S Research Loop Ste 200
1,0,4,5,14,2:30 pm - 10:00 pm,Closed,12:00 pm - 10:00 pm,Closed,2:30 pm - 10:00 pm,2:30 pm - 9:00 pm,2:30 pm - 9:00 pm,Breweries,Tucson,Claimed,,No,Good For Happy Hour,BlackRock Brewers,Inexpensive,,4.5,24 reviews,1664 S Research Loop Ste 200
1,0,4,5,14,2:30 pm - 10:00 pm,Closed,12:00 pm - 10:00 pm,Closed,2:30 pm - 10:00 pm,2:30 pm - 9:00 pm,2:30 pm - 9:00 pm,Breweries,Tucson,Claimed,,No,Dogs Allowed,BlackRock Brewers,Inexpensive,,4.5,24 reviews,1664 S Research Loop Ste 200
1,0,4,5,14,2:30 pm - 10:00 pm,Closed,12:00 pm - 10:00 pm,Closed,2:30 pm - 10:00 pm,2:30 pm - 9:00 pm,2:30 pm - 9:00 pm,Breweries,Tucson,Claimed,,No,Caters,BlackRock Brewers,Inexpensive,,4.5,24 reviews,1664 S Research Loop Ste 200
1,0,4,5,14,2:30 pm - 10:00 pm,Closed,12:00 pm - 10:00 pm,Closed,2:30 pm - 10:00 pm,2:30 pm - 9:00 pm,2:30 pm - 9:00 pm,Breweries,Tucson,Claimed,,Yes,Offers Military Discount,BlackRock Brewers,Inexpensive,,4.5,24 reviews,1664 S Research Loop Ste 200
4,2,15,45,105,3:00 pm - 10:00 pm,"3:00 pm - 10:00 pm
        
                Open now",12:00 pm - 10:00 pm,12:00 pm - 5:00 pm,3:00 pm - 10:00 pm,3:00 pm - 10:00 pm,3:00 pm - 10:00 pm,Breweries,Tucson,Claimed,,No,Take-out,Dragoon Brewing Co,Moderate,,4.5,171 reviews,1859 W Grant Rd Ste 111
