city,moreInfoVal,moreInfoVar,name,rating,reviews,street
Edina,NA,NA,Wooden Hill Brewing Company,NA,NA,7421 Bush Lake Road
Biloxi,NA,NA,Biloxi Brewing Co,NA,NA,186 Bohn St
Vicksburg,NA,NA,Key City Brewing Co.,NA,NA,1311 Washington St.
Kiln,NA,NA,"Lazy Magnolia Brewing Co, LLC",NA,NA,7030 Roscoe Turner Rd
Jackson,NA,NA,Lucky Town Brewing Co,NA,NA,1710 N Mill St
Meridian,NA,NA,"Threefoot Brewing Company, LLC",NA,NA,4010 23rd Avenue
Water Valley,NA,NA,Yalobusha Brewing Company,NA,NA,102 S Main St
Higginsville,NA,NA,Arcadian Moon,NA,NA,19203 Old Highway 40
Washington,NA,NA,Augusta Brewing Co,NA,NA,109 W Main St
Kansas City,NA,NA,BKS Artisan Ales,NA,NA,633 E 63rd St
Kansas City,NA,NA,Border Brewing Company,NA,NA,406 E 18th St
St. Louis,NA,NA,Brew Hub Taproom,NA,NA,5656 Oakland Avenue
Kansas City,NA,NA,Brewery Emperial,NA,NA,1829 Oak St
Columbia,NA,NA,Broadway Brewery,NA,NA,816 E Broadway Ste B
Columbia,NA,NA,Bur Oak Company,NA,NA,8250 E Trade Center Dr
Sainte Genevieve,NA,NA,Crown Valley Brewing & Distilling Co,NA,NA,23589 State Route Ww
Washington,NA,NA,Deep Sleep Brewing Company LLC,NA,NA,6891 Whiskey Creek Rd.
Blue Springs,NA,NA,East Forty Brewing,NA,NA,
Saint Charles,NA,NA,Exit 6 Brewery,NA,NA,5055 Highway N Ste 112
Saint Louis,NA,NA,High Heel Brewing,NA,NA,5656 Oakland
Pontiac,NA,NA,"Lake Bums BrewCo, LLC.",NA,NA,112 Parrothead Ln
Valley Park,NA,NA,Mackenzie Brewing Company,NA,NA,
Saint Louis,NA,NA,Center Ice Brewing Company,NA,NA,3126 Olive St.
Raytown,NA,NA,Crane Brewing Company,NA,NA,6515 Railroad St
Saint Louis,NA,NA,Ferguson Brewing Co,NA,NA,418 S Florissant Rd
Kansas City,NA,NA,Granite City Food & Brewery (#11),NA,NA,8461 NW Prairie View Rd
Creve Coeur,NA,NA,Granite City Food & Brewery (#29),NA,NA,11411 Olive Blvd
Berger,NA,NA,Gruhlke's Microbrewery / Bias Vineyards,NA,NA,3166 Highway B
Neosho,NA,NA,Indian Springs Brewing Company,NA,NA,109 E Main St
Kansas City,NA,NA,Kansas City Bier Company,NA,NA,310 W 79th St
Festus,NA,NA,Main And Mill Brewing Company,NA,NA,240 E Main St
Kansas City,NA,NA,Martin City Brewing Company,NA,NA,410 E 135th St
O Fallon,NA,NA,Missouri Beer Company,NA,NA,22 W Industrial Dr
Saint Louis,NA,NA,Modern Brewery,NA,NA,5231 Manchester Ave # E
Kansas City,NA,NA,Outlaw Cigar / Gunslinger Saloon Brewing,NA,NA,
West Plains,NA,NA,Ozarks Brewing Company,NA,NA,1872 S. U.S. Hwy. 63
Willard,NA,NA,Prehistoric Brewing Company,NA,NA,
Saint Louis,NA,NA,Propagation LLC,NA,NA,
Saint James,NA,NA,Public House Brewing Co,NA,NA,551 State Route B
Saint Joseph,NA,NA,River Bluff Brewing,NA,NA,
Saint Louis,NA,NA,Schlafly Bottleworks,NA,NA,1 Schlafly Plz
Doe Run,NA,NA,Southern Heritage Brewing Company,NA,NA,
Kansas City,NA,NA,Stockyards Brewing Company,NA,NA,1600 Genessee St Ste 100
Saint Robert,NA,NA,Uranus Brewery,NA,NA,
Stover,NA,NA,"Welpman Springs Brewing Company, LLC.",NA,NA,517 Hatchery Rd
Springfield,NA,NA,Mother's Brewing Co,NA,NA,215 S Grant Ave
Liberty,NA,NA,Rock & Run Brewery,NA,NA,110 E Kansas St
Saint Louis,NA,NA,"Schlafly Beer/The Saint Louis Brewery, LLC",NA,NA,2100 Locust St
Hermann,NA,NA,Tin Mill Brewing Co,NA,NA,114 Gutenberg St
O Fallon,NA,NA,Wild Water,NA,NA,9995 Winghaven Blvd
Clancy,NA,NA,380 Brewing Company,NA,NA,
Columbia Falls,NA,NA,Backslope Brewing,NA,NA,1107 9th St W (Highway 2)
Hamilton,NA,NA,Bandit Brewing Co,NA,NA,610 N 1st St Ste 5-228
Kalispell,NA,NA,Bias Brewing,NA,NA,409 1st Ave E Ste B
Malta,NA,NA,BLUE RIDGE BREWING,NA,NA,
Helena,NA,NA,Brewery in Planning - Helena,NA,NA,
Kalispell,NA,NA,Brewing Academy Of Montana At FVCC,NA,NA,
Helena,NA,NA,Crooked Furrow Brewing,NA,NA,2801 N Roberts Ave
Bozeman,NA,NA,Dog Tag Brewing,NA,NA,2042 Stadium Dr Ste 2
Belgrade,NA,NA,Game Bag Brewing,NA,NA,
Missoula,NA,NA,GILD BREWING,NA,NA,
Saint Louis,NA,NA,William K Busch Brewing Co.,NA,NA,8047 Litzsinger Rd
Belgrade,NA,NA,Bar 3 BBQ and Brewing,NA,NA,100 S Broadway
Missoula,NA,NA,Bayern Brewing Inc.,NA,NA,1507 Montana St
Hamilton,NA,NA,Bitter Root Brewing Co,NA,NA,101 Marcus St
Black Eagle,NA,NA,Black Eagle Brewery,NA,NA,1600 25th Ave NE
Whitefish,NA,NA,Bonsai Brewing Project,NA,NA,549 Wisconsin Ave
Glasgow,NA,NA,Busted Knuckle Brewery,NA,NA,303 1st Ave S
Harlowton,NA,NA,Gally's Brewing Co,NA,NA,30 Central Ave S
Polson,NA,NA,Glacier Brewing Co,NA,NA,6 10th Ave E
Eureka,NA,NA,H.A. Brewing Co,NA,NA,2525 Grave Creek Rd
Bonner,NA,NA,Kettle House Brewing Co.,NA,NA,605 Coldsmoke Ave
Bonner,NA,NA,Kettlehouse Brewing Co - Bonner Brewery,NA,NA,605 Coldsmoke Ave
Helena,NA,NA,Lewis & Clark Brewing Co,NA,NA,1517 Dodge Ave
Lewistown,NA,NA,Lewistown Brewing Co,NA,NA,
Livingston,NA,NA,Montucky Cold Snacks,NA,NA,123 W Lewis St
Livingston,NA,NA,"Neptunes Brewery, LLC",NA,NA,119 N L St
Missoula,NA,NA,OddPitch Brewing Co.,NA,NA,
Lolo,NA,NA,"Westslope Brewing, LLC",NA,NA,
Great Falls,NA,NA,Jeremiah Johnson Brewing Company,NA,NA,215 3rd St NW
Bozeman,NA,NA,Julius Lehrkind Brewing,NA,NA,1717 N Rouse Ave
Big Sky,NA,NA,Lone Peak Brewery,NA,NA,48 Market Pl
Bozeman,NA,NA,Mountains Walking,NA,NA,422 N Plum Ave
Havre,NA,NA,Old Station Brewing Co,NA,NA,140 1st St
Bozeman,NA,NA,Outlaw Brewing Co,NA,NA,2876 N 27th Ave
Butte,NA,NA,Quarry Brewing,NA,NA,124 W Broadway St
Havre,NA,NA,Triple Dog Brewing Company,NA,NA,675 1st St W
Billings,NA,NA,Uberbrew,NA,NA,2305 Montana Ave
Stevensville,NA,NA,Wildwood Brewing Co,NA,NA,4018 US Highway 93 N
Billings,NA,NA,Yellowstone Valley Brewing Co.,NA,NA,2123B 1st Ave N
Lincoln,NA,NA,Backswing Brewing Co.,NA,NA,500 W South St Ste 8
Omaha,NA,NA,Barley Boys Brewery,NA,NA,
Taylor,NA,NA,Bootleg Brewers - Sandhills Brewing Company,NA,NA,45145 829th Rd
Alliance,NA,NA,Brewery 719,NA,NA,
Omaha,NA,NA,Brewery In Planning - Omaha,NA,NA,
Imperial,NA,NA,Hanging Horseshoe Brewing Company,NA,NA,73892 332 Ave
Omaha,NA,NA,JGR Enterprises Inc,NA,NA,
Elkhorn,NA,NA,Jukes Ale Works LLC,NA,NA,
Mc Cook,NA,NA,Loop Brewing Co,NA,NA,404 W A St
Plattsmouth,NA,NA,Midwest Hop Producers LLC,NA,NA,
Springfield,NA,NA,Soaring Wings Brewing,NA,NA,17111 S 138th St
Seward,NA,NA,Bottle Rocket Brewing Co,NA,NA,230 S 5th St
Atkinson,NA,NA,Brush Creek Brewing Company,NA,NA,102 N Main St
Norfolk,NA,NA,Divots Brewery,NA,NA,4200 W Norfolk Ave
Lincoln,NA,NA,Empyrean Brewing Co,NA,NA,729 Q St
Omaha,NA,NA,Jaipur Restaurant and Brewpub,NA,NA,10922 Elm St
Wayne,NA,NA,Johnnie Byrd Brewing Company,NA,NA,121 N Pearl St
La Vista,NA,NA,Nebraska Brewing Co - La Vista,NA,NA,6950 S 108th St
Hastings,NA,NA,Steeple Brewing Co,NA,NA,717 W 1st St
Henderson,NA,NA,Barley's Casino and Brewing Co,NA,NA,4500 E Sunset Rd Ste 30
Reno,NA,NA,Battle BornÂ® Beer,NA,NA,100 N Arlington Ave Ste 100
Las Vegas,NA,NA,Big Dog's Brewing Co,NA,NA,4547 N Rancho Dr Ste A
Las Vegas,NA,NA,"Brewery in Planning - Las Vegas, NV",NA,NA,
Reno,NA,NA,Great Basin Brewing Co - Production Facility,NA,NA,1155 S Rock Blvd Ste 490
Las Vegas,NA,NA,Immortal Brewing Company,NA,NA,
Las Vegas,NA,NA,Little Vixen Brewing,NA,NA,
Las Vegas,NA,NA,Nevadan Brewing Company,NA,NA,
Reno,NA,NA,Reno Brewery,NA,NA,
Wells,NA,NA,Ruby Mountain Brewing Co,NA,NA,HC 60 Box 100
Las Vegas,NA,NA,Sin City Beer Co,NA,NA,3663 Las Vegas Blvd S Ste 504 Miracle Mile Shops
Reno,NA,NA,StoneyHead Brewing LLC,NA,NA,5301 Longley Ln Ste 84C
Pinehurst,NA,NA,Pinehurst Resort,NA,NA,
Omaha,NA,NA,Upstream Brewing Co (#1),NA,NA,514 S 11th St
Henderson,NA,NA,"Joseph James Brewing Co, Inc",NA,NA,155 N Gibson Rd
